code,unit,num,date,net,value
000071,8,6118,2018-01-08,1.5711,9611.9898
001180,7,8829,2018-01-08,0.8642,7630.0217999999995
000478,7,2488,2018-01-08,2.4412,6073.705599999999
000968,7,6286,2018-01-08,1.0934,6873.1124
001051,7,9815,2018-01-08,0.988,9697.22
003376,6,6371,2018-01-08,0.9265,5902.7315
100032,6,4743,2018-01-08,1.381,6550.083
001064,5,6582,2018-01-08,0.779,5127.378000000001
001052,3,4794,2018-01-08,0.687,3293.478
270048,2,1688,2018-01-08,1.179,1990.152
162411,2,3658,2018-01-05,0.62,2267.96
001061,2,1636,2018-01-05,1.234,2018.824
050027,2,1851,2018-01-08,1.049,1941.6989999999998
110026,1,530,2018-01-08,1.8385,974.405
160416,1,1303,2018-01-05,1.015,1322.5449999999998
000051,1,1026,2018-01-08,1.34,1374.8400000000001
003765,1,1041,2018-01-08,1.0003,1041.3123
000614,1,994,2018-01-05,1.285,1277.29
000216,1,971,2018-01-08,1.0238,994.1098000000001
502010,1,913,2018-01-08,1.1095,1012.9735
